Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_569,reuse,16,groupB,i dalla nostra s,1011527___47_61,1011527
cluster_572,reuse,20,groupB,ello che vorremmo in,1011532___54_71,1011532
cluster_572,reuse,20,groupB,ello che vorremmo nas,1011553___17_35,1011553
cluster_573,reuse,16,groupB,ltà è indifferent,1011533___49_63,1011533
cluster_573,reuse,16,groupB,ava indifferent,1011836___26_41,1011836
cluster_574,reuse,19,groupB,ella nostra infinit,1011534___22_40,1011534
cluster_577,reuse,56,groupB,loro che sanno interessarsi alla vita sono da ammi,1011535___1_43,1011535
cluster_579,reuse,53,groupB,onna brutta e vecchia tre disgrazie irrimed,1011538___1_35,1011538
cluster_581,reuse,15,groupB, nella propri,1011545___10_22,1011545
cluster_581,reuse,15,groupB,i della propria,1011850___27_41,1011850
cluster_583,reuse,19,groupB,usa della sua mort,1011552___33_49,1011552
cluster_585,reuse,15,groupB, impressioni ch,1011558___23_36,1011558
cluster_588,reuse,17,groupB,ce al tempo stess,1011560___34_48,1011560
cluster_588,reuse,17,groupB,ce al tempo stess,1011561___34_48,1011561
cluster_589,reuse,27,groupB,n una triste giornata di pi,1011562___1_23,1011562
cluster_592,reuse,25,groupB,à fastidio neanche all ari,1011569___19_40,1011569
cluster_593,reuse,35,groupB,ra la vita e la morte sta a noi se sent,1011578___19_49,1011578
cluster_593,reuse,35,groupO2,ra la vita e la morte A volte bi,1011932___21_45,1011932
cluster_596,reuse,14,groupB,e riflessioni d,1011584___17_31,1011584
cluster_600,reuse,27,groupB, a ragionare allo stesso mod,1011589___49_72,1011589
cluster_604,reuse,22,groupB, uomo è il proprio nom,1011600___17_34,1011600
cluster_605,reuse,52,groupB,e la luna stia nel cielo per fargli luce di nott,1011601___24_60,1011601
cluster_605,reuse,52,groupB,e la luna sia nel cielo per far luce di nott,1011762___15_48,1011762
cluster_606,reuse,31,groupB,to che la natura in qualche modo,1011609___11_35,1011609
cluster_609,reuse,29,groupB,n treno Il treno si ferma Ma,1011611___7_30,1011611
cluster_613,reuse,55,groupB,te poi vuole andare oltre lo spettacolo della vit,1011616___32_73,1011616
cluster_617,reuse,25,groupB, accostarsi alla vita degli,1011622___60_81,1011622
cluster_619,reuse,23,groupB,e agli altri è come men,1011623___6_22,1011623
cluster_620,reuse,53,groupB, a disagio come se avesse perduto il diritto di esser,1011624___35_77,1011624
cluster_623,reuse,21,groupB,naggio di Adriano Mei,1011625___8_25,1011625
cluster_624,reuse,19,groupB,articolare di Matti,1011632___38_55,1011632
cluster_626,reuse,24,groupB,on sapendo più resistere,1011635___1_22,1011635
cluster_628,reuse,18,groupB,ssere Mattia Pasca,1011639___25_41,1011639
cluster_628,reuse,18,groupB,ssere Mattia Pasca,1011640___25_41,1011640
cluster_628,reuse,18,groupB,ssere Mattia Pasca,1011641___25_41,1011641
cluster_629,reuse,21,groupB,truzione della nostra,1011643___41_61,1011643
cluster_631,reuse,77,groupB,er circa due anni non so se sono stato un cacciatore di topi o un guardiano di libr,1011645___1_61,1011645
cluster_632,reuse,77,groupB, guardiano di libr,1011727___6_20,1011727
cluster_633,reuse,26,groupB, se non è costretto a mentir,1011647___18_39,1011647
cluster_636,reuse,29,groupB,pportunità di assaporare la fe,1011654___48_74,1011654
cluster_637,reuse,18,groupB,nere immobili nell,1011655___4_20,1011655
cluster_638,reuse,37,groupB, alla fine si ritorna sempre da dove,1011664___33_63,1011664
cluster_639,reuse,14,groupB,ia della Terr,1011667___14_26,1011667
cluster_640,reuse,76,groupB,u un granellino di sabbia impazzito che gira e gira e gira senza sapere il per,1011670___15_72,1011670
cluster_644,reuse,99,groupB, pensarci la vista il cielo e il mare si oscuravano il sangue frizzava nelle vene e il cuore mi battev,1011679___1_78,1011679
cluster_645,reuse,95,groupB,driano Meis voleva quasi far da guida e Cicerone a Mattia Pascal Quando passato e pre,1011683___1_66,1011683
cluster_646,reuse,42,groupB, nato in Argentina da genitori italian,1011684___7_38,1011684
